side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
5,1,1.9306977288832536e-09,0.01,5,26084,3.0964558097222223,0.6192911619444444,430556
5,1,2.6826957952797275e-09,0.01,5,25666,3.046835726388889,0.6093671452777778,423388
5,1,3.727593720314938e-09,0.01,6,25241,3.5956616216666664,0.5992769369444444,423388
5,1,5.179474679231202e-09,0.01,6,24811,3.534408121666667,0.5890680202777778,423388
5,1,7.1968567300115284e-09,0.01,6,24373,3.4720150216666665,0.5786691702777778,416732
5,1,1e-08,0.01,6,23929,3.4087672216666665,0.5681278702777778,416732
5,1,1.389495494373136e-08,0.01,6,23478,3.344522271666667,0.5574203786111112,416732
5,1,1.9306977288832496e-08,0.01,7,23019,3.8256606752777778,0.5465229536111111,381340
5,1,2.682695795279727e-08,0.01,7,22552,3.3197006908333333,0.4742429558333333,398812
5,1,3.7275937203149377e-08,0.01,7,22077,3.2497814825,0.4642544975,363420
5,1,5.1794746792312124e-08,0.01,8,21594,3.6327825,0.4540978125,356764
5,1,7.196856730011513e-08,0.01,8,21102,3.55001498,0.4437518725,356764
5,1,1e-07,0.01,8,20602,3.4659016466666666,0.4332377058333333,350620
5,1,1.389495494373136e-07,0.01,9,20092,3.8026193025,0.4225132558333333,350620
5,1,1.9306977288832497e-07,0.01,9,19573,3.7043959575,0.4115995508333333,317756
5,1,2.6826957952797275e-07,0.01,10,19044,4.004755625,0.4004755625,317756
5,1,3.727593720314938e-07,0.01,10,18506,3.8916231916666666,0.38916231916666666,317756
5,1,5.179474679231202e-07,0.01,11,17959,4.154258029166667,0.3776598208333333,317756
5,1,7.196856730011514e-07,0.01,11,17402,4.0254174308333335,0.36594703916666665,312124
5,1,1e-06,0.01,12,16837,4.24879237,0.3540660308333333,312124
5,1,1.389495494373136e-06,0.01,13,16263,4.445924657777778,0.34199420444444445,285304
5,1,1.9306977288832498e-06,0.01,14,15682,4.616874398888889,0.3297767427777778,279672
5,1,2.6826957952797274e-06,0.01,15,15095,4.14711,0.276474,293752
5,1,3.727593720314938e-06,0.01,17,14503,4.5157358400000005,0.26563152,263800
5,1,5.179474679231202e-06,0.01,19,13909,4.84029579,0.25475241,258168
5,1,7.196856730011514e-06,0.01,21,13314,5.120954685,0.243854985,258168
5,1,1e-05,0.01,23,12721,5.358866369999999,0.23299419,253048
5,1,1.3894954943731361e-05,0.01,27,12134,6.000568695,0.222243285,236344
